ref_ID,Country,Ref,PubDate,Continent,MPA_name,MPA_size,MPA_size_cat,MPA_age,MPA_age_cat_2,MPA_age_cat,Multiple_Zones,MPA_ntake_01,MPA_notake,Ecosystem,Eco_simple,Study_design,Study_design_2,Stake_simple,Stakeholder,CPUE,Catch,Income
4,Philippines,"Allegretti A.M., Vaske J.J., Cottrell S. (2012) Predicting Stakeholder Support for Fishery Policies. Coastal Management 40, 20.",2012,Asia,Multiple,,,,,,Y,N,0,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
6,Solomon Islands,"Aswani S., Furusawa T. (2007) Do marine protected areas affect human nutrition and health? A comparison between villages in Roviana, Solomon Islands. Coastal management 35, 545-565.",2007,Oceania,Kozou,0.452,Small,4,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
6,Solomon Islands,"Aswani S., Furusawa T. (2007) Do marine protected areas affect human nutrition and health? A comparison between villages in Roviana, Solomon Islands. Coastal management 35, 545-565.",2007,Oceania,Nusa Hope,1.13,Medium,6,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
6,Solomon Islands,"Aswani S., Furusawa T. (2007) Do marine protected areas affect human nutrition and health? A comparison between villages in Roviana, Solomon Islands. Coastal management 35, 545-565.",2007,Oceania,Baraulu,1.03,Medium,4,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
6,Solomon Islands,"Aswani S., Furusawa T. (2007) Do marine protected areas affect human nutrition and health? A comparison between villages in Roviana, Solomon Islands. Coastal management 35, 545-565.",2007,Oceania,Olive,1.57,Medium,3,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
6,Solomon Islands,"Aswani S., Furusawa T. (2007) Do marine protected areas affect human nutrition and health? A comparison between villages in Roviana, Solomon Islands. Coastal management 35, 545-565.",2007,Oceania,Dunde,1.05,Medium,1,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
7,Tanzania,"Barley Kincaid K., Rose G., Mahudi H. (2014) Fishers' perception of a multiple-use marine protected area: Why communities and gear users differ at Mafia Island, Tanzania. Marine Policy 43, 226-235.",2014,Africa,Mafia Island Marine Park,882,Large,16,>10 years,Old,Y,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
7,Tanzania,"Barley Kincaid K., Rose G., Mahudi H. (2014) Fishers' perception of a multiple-use marine protected area: Why communities and gear users differ at Mafia Island, Tanzania. Marine Policy 43, 226-235.",2014,Africa,Mafia Island Marine Park,882,Large,16,>10 years,Old,Y,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
7,Tanzania,"Barley Kincaid K., Rose G., Mahudi H. (2014) Fishers' perception of a multiple-use marine protected area: Why communities and gear users differ at Mafia Island, Tanzania. Marine Policy 43, 226-235.",2014,Africa,Mafia Island Marine Park,882,Large,16,>10 years,Old,Y,Y,1,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
8,Portugal,"Batista M.I., Baeta F., Costa M.J., Cabral H.N. (2011) MPA as management tools for small-scale fisheries: The case study of Arrabida Marine Protected Area (Portugal). Ocean & Coastal Management 54, 137-147.",2011,Europe,Arrabida Marine Protected Area,53.24,Medium,13,>10 years,Old,Y,Y,0.081,rocky reef,Temperate,BA,BACI,Fisheries,Afisheries,No change,,No change
9,Portugal,"Batista M.I., Horta e Costa B., Goncalves L. et al. (2015) Assessment of catches, landings and fishing effort as useful tools for MPA management. Fisheries Research (Amsterdam) 172, 197-208.",2015,Europe,Arrabida Marine Protected Area,53.24,Medium,5,<10 years,Young,Y,Y,0.081,rocky reef,Temperate,BA,BACI,Fisheries,Afisheries,Increase,,
9,Portugal,"Batista M.I., Horta e Costa B., Goncalves L. et al. (2015) Assessment of catches, landings and fishing effort as useful tools for MPA management. Fisheries Research (Amsterdam) 172, 197-208.",2012,Europe,Arrabida Marine Protected Area,53.24,Medium,5,<10 years,Young,Y,Y,0.081,rocky reef,Temperate,BA,BACI,Fisheries,Afisheries,Increase,,
